,"Infantry","Light vehicle","Medium armour","Heavy armour","Aircraft","Cavalry","Ship","Submarine","Emplacement","Building","Infrastructure"
"Open",75,100,100,100,100,100,100,100,100,100,100
"Water",50,100,100,100,100,50,100,100,100,100,100
"Deep Water",50,100,100,100,100,50,100,100,100,100,100
"Woods",150,125,125,100,100,100,100,100,125,125,100
"Sand",75,100,100,100,100,75,100,100,100,100,100
"Hills",125,125,100,100,100,125,100,100,150,150,100
"Mountain",175,125,125,125,100,75,100,100,175,175,100
"Urban",150,150,150,125,100,100,100,100,100,100,100
"Fortress",200,200,150,125,100,150,100,100,100,100,100
"Impassable",175,125,125,125,100,150,100,100,175,175,100
